openalex,doi,year,title,venue,stratum,cell,arm,screened_by,screened_on,note
W2144185246,10.1111/j.1728-4465.2001.00147.x,2001,Adolescent Pregnancy and Parenthood in South Africa,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W322371126,,2001,Microfinance strategies for HIV/AIDS mitigation and prevention in Sub-Saharan Africa,RePEc: Research Papers in Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4250251007,10.2307/3088313,2001,How Do Family Planning Workers' Visits Affect Women's Contraceptive Behavior in Bangladesh?,Demography,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4388084584,10.1093/oso/9780199241859.003.0020,2001,Prospects for Fertility Decline and Implications for Population Growth in South Asia,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2036663396,10.1111/j.1728-4465.2000.00325.x,2000,Mobilizing Demand for Contraception in Rural Gambia,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2068751029,10.2307/2648118,2000,Measuring living standards with proxy variables,Demography,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2098408838,10.31899/pgy6.1042,2000,Future trends in contraception in the developing world: Prevalence and method mix,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2134612802,10.1111/j.1728-4457.2000.00081.x,2000,Absent and Problematic Men: Demographic Accounts of Male Reproductive Roles,Population and Development Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2137877360,10.1111/j.1728-4457.2000.00691.x,2000,Unmet Need for Family Planning in Developing Countries and Implications for Population Policy,Population and Development Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2144489347,10.1111/j.1728-4457.2000.00483.x,2000,The Spread of Primary Schooling in sub‐Saharan Africa: Implications for Fertility Change,Population and Development Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2152583422,10.31899/pgy6.1041,2000,Socialization to gender roles and marriage among Egyptian adolescents,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2163696679,10.1111/j.1728-4465.2000.00193.x,2000,The Potential Role of Contraception in Reducing Abortion,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2186394662,10.31899/pgy6.1034,2000,The effects of schooling incentive programs on household resource allocation in Bangladesh,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2741898846,10.31899/pgy6.1043,2000,"Some preconditions for fertility decline in Bengal: History, language identity, and an openness to innovations",,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2755592216,10.31899/pgy6.1039,2000,Greater investments in children through women's empowerment: A key to demographic change in Pakistan?,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2909002907,10.31899/pgy1.1027,2000,Managing population-environment systems: Problems of institutional design,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1984420912,10.1162/003465399767923809,1999,Consumption Smoothing and Excess Female Mortality in Rural India,The Review of Economics and Statistics,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1503504393,10.31899/pgy6.1031,1999,Urban growth in developing countries: A review of projections and predictions,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1530306231,10.1016/s1573-4463(99)03012-6,1999,The Economics and Econometrics of Active Labor Market Programs,Handbook of labour economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1975690953,10.1111/j.1728-4457.1999.00515.x,1999,Completing the Demographic Transition,Population and Development Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2009073950,10.1002/(sici)1099-1328(199911/12)11:7<957::aid-jid623>3.0.co;2-#,1999,Questioning virtuous spirals: micro‐finance and women's empowerment in Africa,Journal of International Development,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2075713492,10.1080/00324720308088,1999,The fertility impact of changes in the timing of childbearing in the developing world,Population Studies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2077914392,10.31899/pgy6.1030,1999,Fertility preferences and contraceptive change in developing countries,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2103614491,10.1146/annurev.soc.25.1.659,1999,THE ESTIMATION OF CAUSAL EFFECTS FROM OBSERVATIONAL DATA,Annual Review of Sociology,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2128524997,10.31899/pgy6.1025,1999,Premarital sex and school dropout in Kenya: Can schools make a difference?,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2340123883,10.31899/pgy6.1022,1999,Lessons from community-based distribution of family planning in Africa,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W25972056,10.31899/pgy6.1023,1999,Mortality decline and the demographic response: Toward a new agenda,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W26732782,10.31899/pgy6.1024,1999,The quantity-quality transition in Asia,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1483507314,10.31899/pgy6.1007,1998,Incentive schemes for school attendance in rural Bangladesh,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2003905296,10.2307/3038206,1998,Increasing Access to Family Planning Services in Rural Mali Through Community-Based Distribution,International Family Planning Perspectives,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2032250448,10.31899/pgy6.1009,1998,"Covert contraceptive use: Prevalence, motivations, and consequences",,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2053757360,10.31899/pgy6.1013,1998,The onset of fertility transition in Pakistan,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2099070821,10.31899/pgy6.1012,1998,"Migration, sexual behavior and HIV diffusion in Kenya",,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2118349819,,1998,Microfinance Handbook: An Institutional and Financial Perspective,RePEc: Research Papers in Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2149122444,10.31899/pgy6.1014,1998,Government and fertility in transitional and post-transitional societies,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2160178725,10.1080/01621459.1998.10473745,1998,Purposive Program Placement and the Estimation of Family Planning Program Effects in Tanzania,Journal of the American Statistical Association,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2226059584,10.31899/pgy6.1019,1998,The impact of family planning household service delivery on women's status in Bangladesh,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2395893983,,1998,Learning and Lags in Mortality Perceptions,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2618414730,10.31899/pgy6.1011,1998,The changing social environment for adolescents in Kassena-Nankana District of northern Ghana: Implications for reproductive behavior,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4252627552,10.2307/172157,1998,Gender Differences in the Schooling Experiences of Adolescents in Low-Income Countries: The Case of Kenya,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2115546483,10.1016/s0305-750x(96)00119-2,1997,The influence of women's changing roles and status in Bangladesh's fertility transition: Evidence from a study of credit programs and contraceptive use,World Development,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W171073141,10.31899/pgy6.1004,1997,"Urbanization, unemployment and migration in Africa: Theory and policy",,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1867126887,,1997,The determinants of contraceptive innovation : a case-control study of family planning acceptance in a traditional African society,Medical Entomology and Zoology,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2041294832,10.2105/ajph.87.4.666,1997,The effectiveness of family planning programs evaluated with true experimental designs.,American Journal of Public Health,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2052201924,10.2307/2137966,1997,Do Family Planning Programs Affect Fertility Preferences? A Literature Review,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2059357051,10.1111/1467-7660.00041,1997,The Poverty–Purdah Trap in Rural Bangladesh: Implications for Women's Roles in the Family,Development and Change,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2064454615,10.2307/2137886,1997,Factors Underlying Unmet Need for Family Planning in the Philippines,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2165079811,10.31899/pgy6.1001,1997,Reproductive control in South Africa,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2252804009,,1997,"Excess Fertility, Unintended Births, and Children's Schooling",,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2328040283,10.2307/2137858,1997,Trends in Unwanted Childbearing in the Developing World,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2590023569,10.31899/pgy6.1002,1997,Transition to adulthood of female factory workers: Some evidence from Bangladesh,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2089571109,10.2307/1060904,1996,An Inquiry into Well-Being and Destitution,Southern Economic Journal,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1965972316,10.2307/2137804,1996,Social Interactions and Contemporary Fertility Transitions,Population and Development Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1996828144,10.1093/wber/10.1.189,1996,"Fertility, Contraceptive Choice, and Public Policy in Zimbabwe",The World Bank Economic Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2138290169,10.2307/2291629,1996,Identification of Causal Effects Using Instrumental Variables,Journal of the American Statistical Association,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2561750235,,1996,Review of Methodological Approaches to the Study of the Impact of the Microenterprise Credit Programs,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4238757406,10.1016/0305-750x(95)00124-u,1996,"Who takes the credit? Gender, power, and control over loan use in rural credit programs in Bangladesh",World Development,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1543756500,,1995,Sustainability of a Government Targeted Credit Program: Evidence from Bangladesh,RePEc: Research Papers in Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2076049652,10.2307/2137832,1995,The Navrongo Community Health and Family Planning Project,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1569384484,10.2307/2137629,1994,Desired Fertility and the Impact of Population Policies,Population and Development Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1972368754,,1994,"Who Takes the Credit?: Gender, Power, and Control Over Loan Use in Rural Credit Programmes in Bangladesh",OpenGrey (Institut de l'Information Scientifique et Technique),snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1990858113,,1994,Bangladesh Demographic and Health Survey 1993-1994,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1998422421,10.2307/2061907,1994,How Economic Development and Family Planning Programs Combined to Reduce Indonesian Fertility,Demography,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2317307457,10.2307/2137604,1994,The Impact of Population Policies: Comment,Population and Development Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2323020589,10.2307/2133513,1994,"Use of True Experimental Designs for Family Planning Program Evaluation: Merits, Problems and Solutions",International Family Planning Perspectives,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2113732149,,1993,A Survey of Theories of the Family,Deep Blue (University of Michigan),snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2114827394,,1993,Demand for Children in Low Income Countries,RePEc: Research Papers in Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1536726302,10.1016/0304-3878(92)90010-7,1992,Handbook of development economics,Journal of Development Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2614858880,,1990,Gender inequality within households: the impact of a womens development program in 36 Bangladeshi villages.,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1974327418,,1989,"Contraceptive use and fertility decline in Chogoria, Kenya.",PubMed,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2044758663,10.2307/2289883,1989,Statistical Analysis With Missing Data,Journal of the American Statistical Association,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2060542838,10.2307/1164730,1989,Latent Variable Models and Factor Analysis,Journal of Educational Statistics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2077545178,10.2307/2133484,1989,The Effect of Counseling on Sterilization Acceptance by High-Parity Women in Nigeria,International Family Planning Perspectives,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2031415000,10.2307/2947680,1988,Attitudes Among Tunisians Toward Family Formation,International Family Planning Perspectives,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2040782959,10.1007/bf01115740,1986,The status of women: Conceptual and methodological issues in demographic studies,Sociological Forum,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2098910318,10.1017/cbo9780511810176,1983,Limited-dependent and qualitative variables in econometrics,Cambridge University Press eBooks,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2007380343,10.2307/2552939,1981,Altruism in the Family and Selfishness in the Market Place,Economica,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1576578023,10.1016/0002-9378(72)90103-2,1972,Auxiliary midwife prescription of oral contraceptives,American Journal of Obstetrics and Gynecology,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W1968792527,10.2307/1965146,1971,KOREA: The Relationship Between IUD Retention and Check-up Visits,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2085573460,10.2307/1965120,1971,HONG KONG: Report of the IUD Reassurance Project,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2035354396,,1969,Family Planning in Taiwan: An Experiment in Social Change,Project Muse (Johns Hopkins University),snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2007994224,10.1080/00324728.1965.10405451,1965,Fertility and family planning in rural Korea,Population Studies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W7138865959,10.1007/s11113-026-10002-w,2026,Loans vs. Lives: Credit Obligations and Childbirth in Russia,Population Research and Policy Review,both_channels,PRIMARY_BORROW_TERMS,B,Shravan/Claude,2026-09-01,"Loans vs. Lives: credit obligations and childbirth in Russia. Arm B; obligation stock rather than access, check against C.3.g's boundary."
W4214485069,10.1016/j.jbef.2022.100633,2022,Do credit supply shocks affect fertility choices?,Journal of Behavioral and Experimental Finance,both_channels,PRIMARY_BORROW_TERMS,B,Shravan/Claude,2026-09-01,"Do credit supply shocks affect fertility choices? Credit-supply variation, fertility outcome. Directly on Arm B's estimand."
W3088349231,10.1111/apel.12297,2020,Credit constraints and the trade‐off between family size and children's investment in Thailand,Asian-Pacific Economic Literature,both_channels,PRIMARY_BORROW_TERMS,B,Shravan/Claude,2026-09-01,"Credit constraints and the family size / child investment trade-off, Thai 3-wave panel. Arm B, and crosses into C.3.d quantity-quality."
W2514518411,,2016,The Babies of Financial Deregulation,SSRN Electronic Journal,both_channels,PRIMARY_BORROW_TERMS,B,Shravan/Claude,2026-09-01,The Babies of Financial Deregulation. CHECK VERSION PAIR against 'The Babies of Mortgage Market Deregulation' (RFS) before counting separately.
W4410478319,10.1016/j.eap.2025.05.030,2025,How does digital finance impact birth rates: Evidence from China,Economic Analysis and Policy,snowball_r2_only,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,How does digital finance impact birth rates: China.
W4387941831,10.1177/09737030231200149,2023,Financial Inclusion and Its Impact on Fertility: An Empirical Investigation,Indian Journal of Human Development,both_channels,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,Financial inclusion and its impact on fertility.
W4286491533,10.1057/s41287-022-00557-7,2022,"Colonial Legacies, Ethnicity and Fertility Decline in Kenya: What has Financial Inclusion Got to Do with It?",European Journal of Development Research,both_channels,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,"Colonial legacies, ethnicity and fertility decline in Kenya: financial inclusion."
W3154219013,10.1007/s11135-021-01139-1,2021,Fertility and financial development: an analysis of Indian households,Quality & Quantity,both_channels,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,"Fertility and financial development, Indian households."
W3081536835,10.1002/bsd2.131,2020,Does financial development influence fertility rate in South Asian economies? An empirical insight,Business Strategy & Development,both_channels,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,Does financial development influence fertility rate in South Asian economies. Aggregate - secondary.
W2927943462,10.1016/j.ssmph.2019.100396,2019,Does owning a bank account improve reproductive and maternal health services utilization and behavior in India? Evidence from the National Family Health Survey 2015–16,SSM - Population Health,snowball_r2_only,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,"Does owning a bank account improve reproductive and maternal health service utilisation. Saving-side access; outcome is service use, so route on the outcome at full text."
W2806253944,10.1177/0020872818774089,2018,Microfinance participation and contraceptive use and intention in Bangladesh,International Social Work,snowball_r2_only,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,"Microfinance participation and contraceptive use and intention in Bangladesh, n=46,639."
W2385528357,10.1080/00220388.2016.1205731,2016,"Micro-Finance, Women’s Empowerment and Fertility Decline in Bangladesh: How Important Was Women’s Agency?",The Journal of Development Studies,both_channels,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,"Micro-finance, women's empowerment and fertility decline in Bangladesh (JDS)."
W2440702328,10.1007/s11205-016-1382-6,2016,Fertility and Financial Development in South Asia,Social Indicators Research,both_channels,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,Fertility and financial development in South Asia. Aggregate - secondary.
W2481779103,10.1016/j.puhe.2016.06.019,2016,Microfinance participation and contraceptive decision-making: results from a national sample of women in Bangladesh,Public Health,snowball_r2_only,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,"Microfinance participation and contraceptive decision-making, national sample."
W2119295186,10.1016/j.ejpoleco.2014.11.004,2014,Fertility choice and financial development,European Journal of Political Economy,both_channels,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,"Fertility choice and financial development (EJPE): access to credit and capital markets on the net reproduction rate, cross-country. Aggregate design - secondary."
W2418774744,,2014,Women's Empowerment and Microcredit: A Case Study from Rural Ghana.,PubMed,both_channels,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,"Women's empowerment and microcredit, rural Ghana."
W2170301097,10.1177/0021909610388747,2011,"Women, Microcredit and Family Planning Practices: A Case Study from Rural Ghana",Journal of Asian and African Studies,both_channels,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,"Women, microcredit and family planning practices, rural Ghana; informal banking clubs."
W214813789,,2006,Microfinance Programs and Contraceptive Use: Evidence from Indonesia,eScholarship (California Digital Library),both_channels,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,"Microfinance programs and contraceptive use, Indonesia Family Life Survey 1997 and 2000."
W2145677907,,2005,Macro Promises of Microcredit: A Case of a local eSusu in Rural Ghana,,snowball_r2_only,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,"Macro promises of microcredit: local eSusu, rural Ghana; family-planning knowledge, attitudes and practice."
W1787354462,10.1596/0-8213-3707-6,1996,The Role of Family Planning and Targeted Credit Programs in Demographic Change in Bangladesh,World Bank discussion papers,both_channels,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,Family planning and targeted credit programs in Bangladesh (Khandker). Credit crossed with FP - same confound structure as Desai and Tarozzi; check whether the arms separate.
W2006801834,10.2307/2950813,1996,Women's Credit Programs and Family Planning in Rural Bangladesh,International Family Planning Perspectives,both_channels,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,"Women's credit programs and family planning, rural Bangladesh, five NGO programmes."
W2932166169,,1995,Impact of the Grameen bank on women's status and fertility in Bangladesh,,snowball_r2_only,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,Impact of the Grameen bank on women's status and fertility in Bangladesh.
W2032566434,10.2307/2138085,1994,"Credit Programs, Women's Empowerment, and Contraceptive use in Rural Bangladesh",Studies in Family Planning,both_channels,PRIMARY_COMPOSITE_ACCESS,composite,Shravan/Claude,2026-09-01,"Credit programs, women's empowerment and contraceptive use, rural Bangladesh."
W2995686300,10.1093/jeg/lbz039,2019,"Rainfall risk, fertility and development: evidence from farm settlements during the American demographic transition",Journal of Economic Geography,both_channels,PRIMARY_SAVE_INSURE,S,Shravan/Claude,2026-09-01,"Rainfall risk and fertility, American frontier farm settlements. Children as a buffer stock of labour against rainfall risk - the insurance motive with an FDT-era setting. HIGH VALUE: the historical Arm S cell."
W1601642119,10.3386/w20491,2014,Fertility and Financial Development: Evidence from U.S. Counties in the 19th Century,National Bureau of Economic Research,both_channels,PRIMARY_SAVE_INSURE,S,Shravan/Claude,2026-09-01,"Fertility and Financial Development, US counties 19th century (NBER). Old-age-security hypothesis tested on FDT-era US data. HIGH VALUE: the scope memo called this cell the thinnest and most valuable if it existed."
W2049410699,10.2307/1972656,1980,The No-Birth Bonus Scheme: The Use of Savings Accounts for Family Planning in South India,Population and Development Review,both_channels,PRIMARY_SAVE_INSURE,S,Shravan/Claude,2026-09-01,"No-Birth Bonus Scheme: savings accounts used as a family-planning incentive, South India tea estates. A savings instrument against fertility; incentive design, so check whether it identifies the saving channel or a price-of-children channel (C.2.d)."
W4402894665,10.1111/jori.12492,2024,Children as insurance revisited: Impact of children on private insurance adoption among older parents,Journal of Risk & Insurance,both_channels,REVERSE,,Shravan/Claude,2026-09-01,"Children as insurance revisited: the impact of CHILDREN on private insurance adoption. Arrow runs backwards - this is the reverse of Arm S and belongs in the identification-threat discussion, not the pool."
W2557712164,10.1111/sifp.12000,2016,Community‐Based Financing of Family Planning in Developing Countries: A Systematic Review,Studies in Family Planning,snowball_r2_only,REVIEW_TO_MINE,,Shravan/Claude,2026-09-01,Community-based financing of family planning in developing countries: a SYSTEMATIC REVIEW. Mine its included-study list.
W4410344305,10.2139/ssrn.5252978,2025,Education Subsidy as Insurance for Fertility Choices,SSRN Electronic Journal,both_channels,THEORY,,Shravan/Claude,2026-09-01,Education subsidy as insurance for fertility choices.
W2765482846,10.1016/j.jet.2021.105231,2021,"Childbearing postponement, its option value, and the biological clock",Journal of Economic Theory,both_channels,THEORY,,Shravan/Claude,2026-09-01,"Childbearing postponement, option value, biological clock."
W3016714586,10.1002/jae.2766,2020,Family planning in a life‐cycle model with income risk,Journal of Applied Econometrics,both_channels,THEORY,,Shravan/Claude,2026-09-01,Family planning in a life-cycle model with income risk.
W1567213421,10.1111/iere.12215,2017,FERTILITY RISK IN THE LIFE CYCLE,International Economic Review,both_channels,THEORY,,Shravan/Claude,2026-09-01,Fertility risk in the life cycle.
W2111150212,10.2139/ssrn.1735042,2011,Fertility and Consumption When Having a Child is a Risky Investment,SSRN Electronic Journal,both_channels,THEORY,,Shravan/Claude,2026-09-01,"Fertility and consumption when having a child is a risky investment - real options, incomplete markets. Arm S/B theory."
